id,ku,number
1,中京区,14755
2,下京区,12192
3,上京区,12107
4,南区,6320
5,東山区,5219
6,山科区,4720
7,伏見区,4551
8,西京区,2548
9,北区,1259
10,右京区,699
11,左京区,681
