id,ku,number
1,北区,396
2,上京区,419
3,左京区,723
4,中京区,"1,014"
5,東山区,330
6,下京区,"1,129"
7,南区,840
8,右京区,705
9,伏見区,"1,552"
10,山科区,786
11,西京区,459
