id,address,lat,lng
97,伏見区小栗栖中山田町35-1,34.9444248,135.7963566
98,伏見区醍醐古道町22－2,34.9586536,135.8206701
99,伏見区羽束師鴨川町66－2,34.9361787,135.735517
100,伏見区向島庚申町124,34.922587,135.7731105
101,伏見区深草平田町31,34.967532,135.7665395
102,伏見区深草池ノ内町12,34.9559967,135.7672515
103,伏見区桃山町和泉23-1,34.9324363,135.786706
104,伏見区深草田谷町1,34.9585869,135.7723858
105,伏見区向島鷹場町74－10,34.9193161,135.7801713
106,伏見区向島ニノ丸町151-6,34.9149857,135.7695157
107,伏見区桃山町立売47,34.9316022,135.7687867
108,伏見区御香宮門前町184,34.9333607,135.7666606
109,伏見区桃山南大島町58,34.9256029,135.7855891
