id,name1,name2,address,lat,lng,status,error
1487,伏見桃山城運動公園,伏見桃山城運動公園 倉庫（砂置き場）,桃山町大蔵地内,34.9409401,135.7787595,OK,
1488,伏見桃山城運動公園,伏見桃山城運動公園 倉庫（砂置き場）,桃山町大蔵地内,34.9409401,135.7787595,OK,
1489,吉祥院公園,吉祥院公園便所４（野球場東）,吉祥院新田下ノ向町,34.971053,135.7230846,OK,
1557,宝が池公園運動施設球技場,南東トイレ,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
1558,宝が池公園運動施設球技場,南西トイレ,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
1559,京北運動公園,京北運動公園　テニスコート横,京北比賀江町院谷ほか,35.1817553,135.6630406,OK,
1560,西京極総合運動公園陸上競技場兼球技場,西京極総合運動公園 スポーツ会館南側園路トイレ,西京極新明町29番地,34.9937522,135.712438,OK,
1561,西京極総合運動公園陸上競技場兼球技場,西京極総合運動公園 野球場南側園路トイレ,西京極新明町29番地,34.9937522,135.712438,OK,
1562,西京極総合運動公園補助競技場,西京極総合運動公園 補助競技場北東園路トイレ,西京極新明町29番地,34.9937522,135.712438,OK,
1563,西京極総合運動公園補助競技場,西京極総合運動公園 陸上競技場西側園路トイレ,西京極新明町29番地,34.9937522,135.712438,OK,
